Date,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
5/21/15,57.9,57.9,57.9,57,57,57,57.9,60.1,0,64,64.9,69.1,68,70,66.9,66,66,66,63,62.1,61,60.1,59,60.1
5/22/15,60.1,59,57.9,57,57.9,57.9,57.9,60.1,60.1,64,66,66.9,68,66.9,66.9,66,66,66,63,63,62.1,63,63,61
5/23/15,61,60.1,59,59,57.9,57.9,58.73,63,63.95,66,66.9,69.1,68,71.1,69.1,70,68,64.9,64,63,62.1,60.1,60.21,60.1
5/24/15,61,61,60.55,59,60.1,60.1,60.55,61,62.1,64,66.9,68,69.1,70,68,68,68,70,68,64,62.1,61,60.1,59
5/25/15,59,57.9,57.9,57,57,57,58.45,60.41,61,62.1,64,64.9,68,68.55,70,70,69.1,66.9,64.9,62.1,61,62.1,62.1,62.1
5/26/15,62.1,62.1,62.1,62.1,61,62.1,62.1,62.1,0,0,0,0,66.9,68,68,66.9,66,64,63,61,60.21,59,59,60.1
5/27/15,60.1,60.1,60.1,60.1,59,60.1,60.1,61,62.1,63,64,69.1,70.55,70,71.1,69.1,68,66.9,66,62.1,61,60.1,59,59
5/28/15,57.9,57.9,57.9,57.45,57.9,59,59,60.1,62.1,62.55,66.9,69.55,72,73.9,70,70,70,68,66,63,62.1,60.78,60.1,60.1
5/29/15,59,59,58.73,60.1,60.1,60.1,60.1,60.78,63,65.45,70.55,73.9,75,73.9,73,73,73,70,66.9,64,62.1,61,60.1,60.1
5/30/15,59,59,59,59,59.69,60.1,60.1,61,62.1,66,69.55,73.9,75.9,73.9,73,71.1,70,69.1,68,63,61.55,61,61,60.1
5/31/15,60.1,60.1,61,61,60.1,59,59,60.1,62.1,63,66,71.1,72,71.1,71.1,71.1,70,69.1,68,63,62.1,61,60.1,60.1
6/1/15,59,60.1,59,60.1,60.1,61,62.1,62.1,64.9,68,72,73,73.9,72,70,70,70,68,66.9,64,62.1,62.1,61,61
6/2/15,61,62.1,61,60.1,61,61,62.1,64.68,67.34,69.08,71.1,75,75.9,73.9,73,72,72,70,70,66,64,63,63,62.1
6/3/15,62.55,64,64,63,62.55,63,63,64,64.9,62.21,63.76,64.45,68,70.55,73.9,73.9,70,69.1,68,64.9,63,62.1,62.1,61
6/4/15,61.55,62.1,61,61,62.1,62.1,62.55,63,64,64,63,63,66,66,66.68,66.9,68,69.1,69.1,64,63,62.1,61,61.55
6/5/15,62.1,62.33,62.1,61.55,62.55,63,63,64.9,66.9,68,69.1,69.1,70,72,70,69.1,68,68,66,64,62.1,62.1,61,61
6/6/15,60.1,60.1,59,59,59,60.1,61,62.55,64.9,64.9,65.73,67.18,69.1,70,69.55,69.1,69.1,68,66,64,62.1,62.1,61,61
6/7/15,60.55,60.1,60.1,60.1,60.1,60.1,61,62.1,65.9,71.1,75.9,75.9,75,75,73,72,71.1,71.1,69.1,64,63,62.1,62.1,62.1
6/8/15,62.1,61,61,60.1,60.1,0,0,64,69.1,73,79,84,82.9,82.9,79,78.1,79,75.9,69.1,66,64,64,64,64
6/9/15,64,63,63,62.55,63,64,64.9,66,66.9,70,79,82.9,84,82.9,82.9,82.9,79,81,82,81,81,80.1,72,70
6/10/15,69.1,68,67.45,66.9,66.9,66.9,66.9,67.45,68,69.55,71.1,72,69.55,68,69.55,71.55,72,72,68.55,66,64.9,64,63,63
6/11/15,63,62.1,62.1,0,0,0,0,63,64,64.9,66.45,68,69.1,72,73.9,72.5,70,70,68,66,65.45,64.9,64.9,64.9
6/12/15,64,64,63,63,63,63,64,64,64.9,65.45,65.45,66.45,68,69.55,71.1,71.41,70,70,68,66,64,64,64,64
6/13/15,64.9,64.9,64,64.9,64,64,63.03,64,64,64.9,66.9,69.1,69.1,69.1,70,71.1,70.61,70,67.73,64.9,64.45,64,64,64
6/14/15,64,64,64,64,64,64,64,64,64.9,66,67.45,71.1,74.45,75.9,73.9,72,71.1,70,67.45,64.9,64,64,63,63
6/15/15,63,63,63,63,63,64,64,64.9,66.9,68,71.95,75.9,77,75,73.9,73,72,71.1,69.1,64.9,64,63,62.1,62.1
6/16/15,62.1,62.1,61.55,62.55,62.1,62.1,63,64.9,68,73.9,78.1,77,75.9,73.9,73.9,75,75,73,71.1,66.9,64,63.5,63,64
6/17/15,64,64,64,63,64,64,64.45,68,71.1,73.9,77,77,77,75.9,75,73.9,73.9,73.9,71.1,66,64.23,64,63,63
6/18/15,63,63,63,62.1,63,63,63.5,66.4,70,75,78.1,79,80.1,78.1,75.9,75.9,73.9,73.9,71.1,69.1,66,64,64,63
6/19/15,63,62.1,61,61,59,58.97,61,66,69.1,75,80.1,80.1,81,80.1,80.1,79,79,78.1,78.1,73,70,68,66.9,66.9
6/20/15,66,64.9,64.9,64,64,64,64,64.9,68,75.9,80.1,84.9,82.9,80.1,80.1,80.1,82,78.1,75.9,73,71.1,70,69.1,68
6/21/15,66,64.9,64.9,66.45,66,64.9,66.9,69.1,73,75,80.1,80.1,80.1,77,75,77,77,75.9,75.9,71.1,68,66.9,66,64.9
6/22/15,64.9,64,64,63,63,62.1,64,69.1,73,78.1,81,81,80.1,80.1,78.1,78.1,79,78.1,73.9,72,69.1,66.9,66,66
6/23/15,64.9,64.9,64.9,64,63,64,66,69.1,72,75,82.9,82.9,82,80.1,80.1,80.1,78.1,78.1,73.9,71.1,68,66.9,66,66
6/24/15,64.9,64.9,64,64,64,63,64.9,70,73,77,79,81,82,82.9,79,79,79,75.9,75,71.1,69.1,66.9,64.9,64.9
6/25/15,64,64.9,63,63,63,63,64.9,69.1,71.1,75.9,78.1,81,78.1,80.1,79,77,77,75.9,72,70,66,64.9,63,62.1
6/26/15,63,62.1,61.55,61,60.55,61.83,61.96,62.1,66,69,73,73.9,77,75.9,75,75,73.9,73.9,70,66.9,66,64.9,64,64
6/27/15,64,64,63,63,63,63,64.9,68,72,73.9,75,72,71.1,72,72,70,70,70,69.1,69.1,69.1,68,69.1,68
6/28/15,69.1,68,68,68,66.9,68,69.1,71.1,75.9,80.1,81,82.9,84,84,82.9,80.1,78.1,77,77,72,73,73,72,72
