DATE,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74,I75,I76,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I90,I91,I92,I93,I94,I95,I96
5/21/2015,102.732,97.048,95.158,88.35,87.385,83.532,84.583,82.68,79.06,77.882,79.29,78.103,76.994,79.262,76.831,75.628,73.769,73.478,74.796,76.781,80.492,81.091,85.418,86.621,96.218,101.176,104.238,104.066,105.404,108.163,111.256,110.372,106.887,109.422,109.597,111.222,111.912,110.695,112.266,111.37,111.369,115.026,113.919,119.499,120.665,119.622,115.189,117.673,121.597,125.859,126.359,126.749,127.377,127.334,128.009,126.38,127.531,123.284,125.034,123.685,121.166,116.771,119.265,119.899,120.903,120.475,121.326,124.888,123.665,124.03,125.681,132.309,135.325,137.611,139.601,135.581,138.709,142.989,147.6,154.023,161.012,163.146,163.617,162.446,158.069,158.194,151.595,143.785,139.874,137.408,131.061,124.639,121.779,116.692,111.954,107.632
5/22/2015,103.069,97.119,94.96,87.266,87.524,84.009,84.587,81.453,80.692,77.401,76.155,77.552,76.759,76.18,77.22,76.195,76.359,77.423,75.701,77.951,79.421,84.467,86.561,85.737,94.125,98.084,101.672,104.998,113.674,112.933,110.884,108.394,111.523,109.135,111.129,115.015,116.517,114.567,114.114,112.522,113.632,114.88,120.425,120.626,117.459,119.566,121.16,121.474,125.241,122.602,124.822,123.587,121.433,122.557,125.215,126.418,123.42,126.886,125.74,123.323,120.833,123.631,124.415,127.182,122.462,121.636,120.309,120.902,121.935,128.637,129.54,128.916,130.858,131.389,132.816,134.029,135.75,140.787,146.741,151.06,155.463,152.909,147.956,145.073,142.738,141.765,140.887,137.023,134.897,131.974,126.247,121.394,115.936,108.959,103.629,102.8
5/23/2015,104.682,99.737,94.937,92.021,90.853,89.59,85.406,86.041,85.27,80.977,81.057,80.24,79.619,78.691,78.958,77.524,79.212,78.075,79.999,77.47,78.802,79.076,81.534,77.935,81.53,83.729,84.241,86.065,87.692,94.974,96.761,98.156,106.161,109.247,109.633,113.035,112.66,118.393,117.909,120.796,119.693,125.439,123.879,121.137,127.283,129.283,125.696,123.905,124.094,123.941,122.744,126.275,127.517,124.788,125.148,123.951,123.284,126.45,126.353,126.667,127.604,125.644,126.814,126.695,123.826,124.208,122.55,117.325,117.713,117.759,120.176,120.081,126.062,125.987,123.464,118.767,119.934,127.418,132.111,134.243,141.109,143.002,145.637,144.111,145.078,144.913,141.012,137.597,133.108,130.11,127.422,124.147,120.099,115.597,112.248,106.494
5/24/2015,99.878,97.06,90.228,88.586,85.63,84.24,80.945,81.453,78.439,77.358,76.496,74.393,74.486,73.386,72.482,72.46,71.737,73.796,72.38,72.661,73.338,71.419,76.127,73.049,73.232,75.82,77.523,80.098,82.009,85.556,85.396,88.105,91.649,95.574,96.699,101.07,106.74,105.36,107.194,107.566,112.498,114.842,113.206,114.031,117.096,115.091,114.3,113.722,117.502,118.535,116.927,119.598,124.048,124.166,123.018,123.985,125.728,124.458,124.921,123.909,122.068,119.853,122.84,122.614,122.87,122.575,123.117,123.737,124.243,126.486,127.004,124.791,124.397,123.17,120.79,117.057,121.343,122.72,127.241,133.561,140.979,141.057,145.723,145.741,145.526,146.42,148.026,142.225,136.149,127.508,122.06,119.047,115.679,110.178,106.574,103.715
5/25/2015,93.498,93.13,86.408,85.541,83.004,79.735,79.867,76.835,76.037,75.278,75.343,72.94,72.24,70.149,70.576,69.753,69.208,69.164,69.18,69.961,68.99,73.015,73.866,72.142,74.125,76.047,78.235,77.492,79.246,81.425,83.036,90.381,90.802,96.275,101.591,103.636,106.142,106.453,109.289,110.035,114.957,119.593,122.509,120.574,124.747,121.217,119.573,124.163,124.589,127.895,125.762,124.907,123.939,124.74,126.428,123.77,122.406,125.862,122.85,122.401,121.908,122.03,123.539,121.616,122.388,121.893,122.347,121.916,125.096,125.581,130.355,129.428,131.919,132.153,129.789,131.432,133.81,134.732,134.076,140.147,147.545,149.129,154.548,150.26,154.179,148.573,149.225,138.701,135.414,130.704,123.872,117.64,115.06,105.965,100.92,97.634
5/26/2015,94.429,91.93,89.395,85.595,82.481,80.959,80.375,77.452,75.82,73.718,73.618,72.454,73.306,72.47,72.776,72.259,70.173,71.696,71.68,75.147,74.956,77.001,80.098,82.192,88.901,98.399,99.547,100.971,105.741,106.719,107.529,107.765,107.325,108.26,109.06,110.824,112.668,111.34,110.076,112.362,114.268,116.037,117.844,116.367,115.639,118.189,125.069,125.487,126.43,122.018,124.821,125.535,123.605,123.305,121.934,123.823,128.763,126.248,124.969,125.904,125.716,125.142,126.176,123.422,128.259,127.743,125.612,129.351,130.412,132.84,132.725,132.297,133.879,135.12,134.54,142.819,149.172,150.897,152.011,159.456,161.014,162.421,162.035,161.822,155.095,154.535,150.413,142.847,140.32,134.886,127.386,122.601,116.593,114.99,108.422,103.183
5/27/2015,93.818,89.712,83.232,82.696,79.456,78.377,78.963,75.126,73.303,74.064,71.312,70.343,72.673,69.167,71.136,69.458,69.834,70.657,70.872,71.202,71.881,72.754,76.932,82.481,85.306,91.213,97.05,95.979,103.143,105.31,108.543,104.442,100.866,102.367,100.994,100.996,104.712,104.171,103.559,104.691,106.761,109.721,111.208,111.104,112.499,114.45,112.373,115.015,115.28,114.101,111.901,117.526,113.728,115.771,118.02,115.813,114.386,110.822,110.683,116.241,116.087,117.612,120.811,127.028,135.368,131.529,134.33,136.158,130.87,130.598,136.048,133.097,138.922,141.697,142.808,145.895,141.716,143.943,144.38,148.403,155.927,159.275,160.376,157.057,157.387,157.201,151.726,146.068,142.858,137.502,129.428,123.833,119.014,112.517,103.97,100.542
5/28/2015,94.567,90.55,86.782,82.824,82.878,80.36,76.86,75.161,74.508,73.002,72.367,71.447,71.181,69.809,70.01,68.135,67.538,68.145,68.607,70.053,73.835,74.506,78.706,79.932,87.487,92.293,94.468,97.272,103.344,103.459,102.147,95.964,98.266,99.945,98.763,99.211,102.684,105.298,106.503,101.439,104.538,105.398,105.49,105.703,106.48,111.277,113.721,112.726,112.856,113.98,114.36,115.6,116.552,118.725,118.76,124.383,122.959,126.28,124.66,122.782,128.966,133.946,134.045,139.385,139.252,138.206,141.215,146.53,147.686,152.565,154.032,153.235,153.481,153.867,152.445,146.929,147.96,146.024,145.781,147.357,151.092,152.452,161.053,163.407,158.713,156.004,153.004,150.576,145.08,137.466,132.293,123.467,119.002,110.429,102.281,99.73
5/29/2015,95.033,90.892,86.967,84.867,81.313,80.123,79.539,76.654,74.393,73.679,72.631,70.763,72.527,69.927,69.751,69.769,68.673,69.036,72.029,71.867,73.061,73.202,74.649,77.932,84.403,91.706,92.254,94.575,101.685,102.838,103.083,98.959,98.461,97.426,101.471,100.648,101.614,101.447,100.238,102.119,99.859,101.173,101.825,105.37,107.882,107.495,112.547,113.096,117.033,125.675,127.479,125.38,127.275,130.95,134.467,139.372,144.075,145.582,148.651,150.205,151.056,152.974,157.711,161.436,168.417,172.026,170.865,167.22,175.555,174.469,179.546,172.514,166.955,169.87,168.582,164.456,166.674,168.422,171.242,164.065,170.256,169.477,166.448,173.369,169.847,165.14,162.892,159.76,152.801,148.222,145.445,137.972,135.607,127.37,120.127,115.647
5/30/2015,109.633,106.674,102.706,98.808,97.28,94.729,91.985,86.212,82.324,81.525,79.151,80.061,78.56,77.886,78.232,77.204,77.704,76.142,76.585,77.029,76.061,75.615,75.113,79.177,80.107,79.587,83.705,83.332,88.965,88.074,91.298,93.934,95.15,102.453,97.295,101.047,106.045,109.575,110.366,110.752,114.004,117.683,118.563,119.037,124.977,134.195,138.031,137.987,141.527,144.105,147.752,147.661,149.064,149.902,152.668,160.105,166.256,173.326,173.8,173.896,185.131,189.867,191.151,186.769,190.845,186.744,187.68,196.391,196.523,190.123,190.279,192.295,192.325,186.5,190.02,190.046,184.209,179.617,180.657,183.604,182.363,175.987,178.008,180.899,176.988,173.072,171.131,166.183,166.458,156.218,149.687,146.031,141.873,130.885,129.873,124.519
